stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0
3Month,0,0.1,0,0.21,0,1.14,0,0.1,0,0.1,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0
22Month,0.14,0,0.27,0.14,0.68,3.01,0.14,0.41,0.41,0.27,0.27,0,0.14,0,0,0,0,0.14,0,0.27
