stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0
72hpf,0.56,0,0,1.69,0.56,0,0,0.28,0,0,0,0,0,0,0,0,0.85,2.82,0,1.69,0,0.28,0,0.56,2.25,0,1.97,0,0,0,0.28,0,0,0
21Day,1.11,0,0,2.59,0.74,0.37,0,0.74,0,0.37,0,0,0,0,0.74,0,0,2.22,1.11,4.07,0,0,0.74,0.37,1.11,0,2.59,0.74,0,0.37,0,0,0,0
3Month,0,0.1,0.31,2.91,0,0,0.1,0.1,0.42,2.81,0,0,3.22,1.98,0,0.73,0.1,1.14,1.14,1.35,0.21,0,0.31,0.1,0,0.1,0.1,0.31,0.52,0.1,0,0.31,0.42,2.29
22Month,0,0.68,0.14,1.5,0,0,0.14,0,0.27,2.46,0.41,0,8.88,0.55,0.27,1.78,0.27,0.14,1.91,0.41,0,0,0.55,0,0,0.14,0,0,0.27,0,0,0.14,0,0.41
