stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mt_rich_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,3.66,0,0,0.28,0
21Day,0,0,0,0,0,0,0,1.11,0.37,0.37,0,0
3Month,0,0.1,1.56,0.1,0,0.1,0,0,0,0,0,0
22Month,0.27,0.14,21.04,0,0.14,0,0.14,0,0,0,0,0.14
