stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,0,3,51,0,0,0,45,0,0,0,0,0,0,0,0,0
72hpf,2.82,8.46,0,17.47,7.89,2.54,0,0,0,0.28,0,0,0,0,0,0.85,9.86,0.28,140.08,0,0,5.92,30.16,24.52,0.85,0,0,149.66,0,0.28,3.95,0.28,0,0.56,0,0,0
21Day,6.66,1.85,0.37,27.01,4.81,5.18,0,1.11,0,0.37,0,0.74,0,2.59,0.74,1.48,6.29,2.22,369.62,0.37,0,19.61,20.72,9.99,3.7,1.48,0,72.89,12.58,0.37,4.44,1.48,2.96,3.7,0.37,0,1.48
3Month,0.1,1.25,0,3.02,0.1,0,0,0,0.21,0.52,0,3.33,0.31,0.1,0.73,0,3.02,0.42,5.93,2.6,0,0.42,0,0.1,1.14,0,0,0.52,0.21,3.33,0.94,0,0,0.21,0.21,1.98,0.21
22Month,0.14,0.82,0,1.23,0,0,0.14,0,0,0.96,0.27,9.84,0,0.14,0.41,0,0.55,0.41,7.11,0.14,0.41,0.27,0,0,2.19,0.68,0.14,0.55,0.27,0.68,2.19,0.14,0,0,0,0,0
