stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,4,0,0,0,1,0,0,0,0,0,1,0,0
72hpf,0.28,0.56,0,0,5.36,0.56,0,0,0,0,0,0,0,0,0.56,0.85,0.28,7.89,0,0.85,0.56,73,5.92,1.69,1.97,0,5.07,0,0.28,2.54,1.41,1.41,1.41,0,0
21Day,1.11,0,0,1.11,3.7,0,0,0,0,0,0,0,0.37,0,0,0,0.37,6.29,0,4.44,0,16.65,1.85,1.85,2.22,0,7.4,0.74,0.74,1.11,2.22,2.96,0,0,0
3Month,0,0.42,0,8.22,1.04,0,0,0.1,0.21,0.62,2.6,0.52,0,0.73,0.21,0.83,0.73,4.16,1.14,1.04,12.69,0.1,0,4.16,0.21,0,0,0.62,12.9,0.31,0.1,0,0.21,1.25,15.08
22Month,0,0.96,0.14,1.78,0.27,0,0.14,0,0.14,0.14,4.92,0.14,0,0.14,0,0.41,0,2.32,0.55,0.41,0,0,0.14,3.69,0.27,0.27,0.14,0.14,9.16,0.27,0.55,0,0.14,0,0
