stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0.28,0,0,0,0,0,0,0.56,0,0,0,0,0,0.56,0.85,1.69,0,0,0.28,0,0,1.13,0,0,0,0
21Day,0.74,0,0.74,1.85,0,0,0,0,0,0,0.37,0,0,0.74,0.74,0,0,0.37,0,0,0.74,0,0,0,0.37,0,0,0,0,0,0,0.37
3Month,0.1,0.52,0,5.82,0,0.62,1.14,0,4.16,3.33,0.1,1.87,0.62,1.87,0.73,1.77,1.35,0,0.21,0.62,1.14,0.1,0.52,0.1,0,0.1,0.73,0,0,0.31,0.31,1.14
22Month,0,0.55,0,0.96,0,0.41,0.96,1.64,3.42,1.64,0,0.41,0,0,0.96,0.68,0,0,0,0.14,0.14,0,0,0.14,0,0,0,0.14,0.27,0,0,0.14
