stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.74,0.74,0,0.37,0.37
3Month,0,0.21,0,0.73,0.21,0.1,0,0.1,0.1,0,0,0.1,0,0
22Month,0.14,0.41,0.14,0.96,0,0,0.14,0,0,0,0,0,0,0
