stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0.28,0.56,0,0,0.28,0,0,0,0,0,0,0
21Day,0.74,0,0,0.74,0,0,0,0,0,0,0.37,0.37,0,0,0,1.11,1.11,0.37,0,0,0.37,0,0.74,0.74,0.74,0,0,0,0.74
3Month,0,0.1,0.1,2.81,0,0.31,0,0,0.42,0.73,0,0.31,0,0.21,0.21,0.42,0,0.1,0,0.21,0,0,0,2.81,0,0,0.21,6.14,0.31
22Month,0,0.14,0.14,2.6,0.14,0.27,0.55,0.55,2.46,0.68,0.27,0.55,0,0.14,0.96,0.68,0,0.27,0,0.55,0,0,0,4.65,0,0,0,0.14,0.68
