stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,19,0,0,1,0,0,0,0,1,0,0,0
72hpf,0.56,0.56,0,1.69,0,0,0,0,0,0,0,0,0,0,0.56,1.97,0,2.54,0,0,9.58,3.95,0,0,0.56,0,0,0.28,0,0,0,0,0
21Day,0.37,0,0,2.59,0.74,0.37,0,0.37,0,0,0,0,0.74,0.37,0,1.11,0,2.22,1.85,0,5.18,2.22,0,0.74,1.11,0.37,0,0.37,0.37,0,0,0,1.11
3Month,0,0.1,0,0.73,0,0,0.1,0.21,0,0,1.14,0.21,0,0.42,0,0.42,0.21,0.31,0,0.1,0.1,0.1,0,0,0,0.1,0.31,0,0,0,0.1,0.83,0.1
22Month,0,0.14,0.14,0.14,0,0,0,0,0.27,0,0.96,0.14,0.14,0.14,0.14,0,0,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0,0.14,0,0.27
