stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,7,0,2,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0.56,18.6,0.28,1.41,0,0,0,3.38,3.1,0,0,1.69,0,0.28,0,0
21Day,0.74,0,0,7.03,0,0,0.74,0,0,0.37,0,0.37,0,0.74,0.37,0,3.33,0,2.59,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0,0.31,0.1,12.07,0,0.1,0,0.31,0.62,0,0,1.46,0.52,0,1.25,0.31,2.29,0.62,1.56,0,0.52,0.21,0.1,0.1,0.1,0.1,0,1.04,0.1,1.46,0.1
22Month,0,0.14,0,0.82,0,0,0,0,0.68,0,0,0.96,0,0,0.68,0,0.14,0.27,0,0.14,0,0,0,0,0,0.14,0,0,0,0,0
