stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Ionocyte,Mesenchymal_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,1,1,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0.21,0,0.1,0.1,0,0.1,0.21,0.1,4.78,0.1,6.14
22Month,0,0,0,0.27,0,0,0,0,0.82,0,0
