stage,Hepatocyte,Keratinocyte,Mesenchymal_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,1,1,0,0,0,0,0
72hpf,0,1.13,0,0,0,0,0,0
3Month,0.31,0,0.1,0,0.1,3.85,0.1,8.11
22Month,0,0,0,0.14,0,0,0,0
