stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0.56,0,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37
3Month,0,0,0.42,0,0,0,0,0.52,0.1,0.1,0,0.1,0,0,0,0,0,0,0.1,0.1,0.1
22Month,0,0.14,0.27,0,0.27,0.27,0,4.24,0.27,0.14,0.14,0.14,0.41,0.14,0.14,0,0,0,0,0,0
