stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,19,0,0,0
72hpf,7.33,3.95,6.48,1.69,6.48,0,0.28,0,0.28,0,0,0,2.82,15.78,1.69,16.63,0,0.28,1.13,0,1130.77,91.04,0.85,0.85,14.94,0,0,6.2,39.18,16.91,20.57,0,0,0
21Day,3.33,0,9.25,0,4.44,1.48,0.37,0,0.74,0,1.85,0.74,0.37,4.44,1.85,7.03,0,0,1.11,0.37,180.55,22.94,0.37,0.74,4.44,5.55,0,1.48,27.75,73.26,21.09,0,0,3.7
3Month,0,0.1,0.42,0,0,0,0.1,0,0.62,0.1,0,0.42,0.1,0.31,0.1,0.1,0.1,0,0,0.21,2.7,0.62,0,0.1,0,0,0.42,0.1,0.31,0.1,0.73,0.1,5.51,0.1
22Month,0,0.27,0.14,0,0,0,0.55,0.14,1.91,0.14,0.14,0.14,0,0,0.27,0.27,0,0.14,0,0,0.82,0,0,0,0,0,0.41,0.41,16.94,0.14,0.68,0.14,0,0.14
