stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,17.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.85,0,0,0,0,0.28,0.28,0,0,0.56,0,0,0,0,0,0,0
21Day,18.13,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0.74,0,0.74,0,0,0,0,0.37,0,0,0,0.37,0.74,0,0,0.74,0,0,0
3Month,0.73,0.1,0,3.54,0,0,0.1,0.1,0,0.52,0,3.12,0.52,0,1.14,0.1,2.08,0.42,0.94,0.31,0,0,0.21,0,0,0.31,0,0,0.21,2.5,0,0,0.31,1.04,0.42
22Month,0.27,0.41,0.14,1.5,0.14,0,0,0.14,0.14,1.78,0.96,27.74,0.55,0.68,2.19,0,0.68,1.23,2.46,0.14,0.68,0.14,0,0.27,0,0.14,0.14,0.14,0,4.51,0.14,0,0,0,0.41
