stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neurosecretory_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21Day,0,0,0.74,0,0,0,1.11,0,0,1.85,0,0,0.37,0.37,0,0
3Month,0.1,0.62,0,0.62,0.31,0.1,0,0.21,0.1,5.2,0.1,0.1,0.1,0,0.1,0.52
22Month,0,0,0,0,0.55,0.14,0.14,0.27,0,2.32,0,0,0.27,0,0,0
