stage,Granulocyte,Hepatocyte,Immune_progenitor_cell,Macrophage,Neural_cell,Oocyte,Pancreatic_cell
24hpf,0,0,0,5,0,0,0
21Day,0,0,0.37,0,0.37,0,0
3Month,0.42,0.21,0,0.21,0,0,0.1
22Month,0.41,0,0,0.82,0,0.14,0
