stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
21Day,1.11,0,0,7.03,0.37,1.11,0.37,0,0,0.37,0.37,0.74,0.37,0,4.81,0.74,1.11,0,0.37,35.89,2.22,1.11,0,0,0.37,1.85,0,0,0.37,0,0
3Month,0,0.31,0.21,1.14,0,0,0,0.1,0.1,1.35,0.31,0,0.31,0.1,0.21,0.1,0.21,0.1,0,23.72,0.1,0,0.1,0.1,0,0,0,0.1,0,0.21,0.31
22Month,0,0,0,0.14,0,0,0,0,0.14,0.55,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0.14,0,0,0,0
