stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0.28,0,0.56,1.69,1.69,0,0,0,0,0,27.06,5.92,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0.74,0,0.37,1.85,2.96,1.85,0,0,0,0,8.88,2.59,0,0,0,0.37,0,0,0,0,0.74,0,0,3.33
3Month,0.21,0,2.91,0,0.1,0.1,0.42,7.07,1.46,0.1,1.25,0.1,0.73,1.77,0.31,0.62,0,0.1,0.1,0.42,0.1,0.1,0.31,0,0,0.52,1.98,0,0,0,0.1,2.39,7.59
22Month,0.55,0.14,1.09,0,0.14,0.14,1.64,13.25,0.27,0.14,0.55,0,0.14,2.6,0.14,0.27,0.41,0.27,0,0.27,0,0.41,0.14,0.14,0,0,0.55,0.27,0.14,0,0,0,3.14
