stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,2,1,1,0,0,0,0,0,0,0,0,4,5,255,0,0,0,0,0,0,0
72hpf,2.54,0.28,1.13,0.56,1.41,0,0.28,0,0.85,1.41,0.28,1.69,99.77,90.19,0.28,0.28,2.54,9.58,0,10.43,0
21Day,0.37,0,1.48,0,1.11,0,0,1.85,0.37,0.37,0,0.74,16.65,29.97,0,0,0.74,18.87,0,6.66,1.48
3Month,0,0,0.21,0,0,0.1,0.1,3.43,0,0,0.1,0,0,0.21,0,0,0,1.04,0,0,0
22Month,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.27,0.14,0,0
