stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,4,0,1,18,1,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0.56,0.28,0.85,0,3.38,3.95,0.28,0,0,0
21Day,0,0,0.74,0,0,0,0.37,0.37,0,0.37,0.37,1.48,0.74,2.59,0.37,0,0
3Month,0,0.1,0.62,0.21,1.77,0.1,0,0,0.1,0.21,0.42,0.1,0,0,0,0.1,0.21
