stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,3.38,0,0,0,0.56,0,0,0,0.85,0,0,0,0,0,0,0,0
21Day,0,0.74,0.37,0.37,0,0,0,0.37,13.69,0,0,0.74,4.81,0,0,0,0.37,0,0,0.37,0,0.37,0,0,0.74
3Month,0,0.62,0,0.1,0.21,0.94,0.83,0.62,3.12,0.31,0.21,0.1,7.49,0.21,0,0.1,0,0,0,0,0,0,0.1,0.1,0.31
22Month,0.14,0.27,0,0.14,0.14,1.09,2.32,0.14,3.42,0.14,0,0,2.19,0.14,0.14,0.14,0,0.14,0.14,0,0.14,0,0,0,1.09
