stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,2.54,0.85,0.28,0,0,0,0,0
21Day,0,0.74,0.74,0.37,0,0,0,0,0.37,0,0,0.37,0,0.37,0,0.74,0,0,0,0,0,0,0
3Month,0,0.52,0,0,0.1,0.21,0.31,0.21,0,0.1,0.1,0.21,0.21,0.1,0.21,0,0,0,0.1,0.1,0.21,0.1,0.1
22Month,0.14,0,0,0,0,0.14,0.96,0,0,0.14,0,0,0,0,0,0,0,0,0.41,0,0,0,0
