stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mt_rich_cell,Neural_cell
21Day,1.85,0.37,0,0.37,0.74,0.37,0.37,0,0.37
22Month,0.27,0,0.27,0.14,0,1.23,0,0.14,0
