stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Mt_rich_cell,Muscle_cell,Neural_cell,Retinal_cone_cell,T_cell
72hpf,0.28,0,0,0,0,0.85,0,0
21Day,0,0,0,0,0.37,2.22,0.37,0
3Month,0,0.1,0,0,0,0,0,0.1
22Month,0,0,0.82,0.14,0,0.14,0,0
