stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0
72hpf,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,1.69,2.25,0.56,0,0,0,1.41,0.56,0,0,6.76,0,0,0,0,0,0,0
21Day,0.74,0.37,0,0.74,0,0,0,0.37,0,0,0,0,0,0,1.48,0.74,4.81,0,0,4.44,0,0.37,0,0,3.7,1.11,0,0,0.37,0,0,0
3Month,0.21,2.5,0,1.56,0.1,0.1,0.21,0.83,1.35,1.77,0.83,0,9.47,0.21,1.35,1.66,32.14,2.6,0,14.98,0.1,0,0.21,0,2.29,0.1,2.18,0.1,0,0.21,17.99,0.31
22Month,0.14,1.64,1.09,1.23,0.55,0,0.55,1.78,1.91,7.11,1.23,0.14,42.36,0,0.14,1.91,49.6,0.27,0.27,9.98,0,0,0.14,0.14,0.41,0,0.96,0,0,0.14,0.27,0
