stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,8.74,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0.56,0,16.07,0,0,0,1.13,0.28,0,0.28,28.75,0,0,0,0,0,0,0,0
21Day,4.07,0.37,0,2.59,1.11,0,0,0,0,0,0,0.37,0,0,0.74,1.11,113.22,0,0,0,2.22,1.48,0,0,30.34,1.48,0.37,0.37,0.37,0.74,0,0,0.37
3Month,0.1,0.52,0.1,1.77,0,0,0,0.21,0.83,2.6,0.73,0.1,1.14,0.21,1.66,0.83,26.63,0.1,0,0.42,0.31,0,0.21,0.1,8.11,0.21,1.35,0.1,0,0,0,0.42,0.42
22Month,0.14,0,0,0.27,0,0.14,0.14,0,0.68,9.29,0.41,0,0.68,0,0.14,0.41,2.6,0,0.41,0.14,0.14,0,0.27,0,3.69,0,0.96,0,0,0,0.14,0,0.14
