stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.97,0,0.28,0.28,0,0,0,0,0,0,0,0,1.41,0.56,0,1.41,0,0.28,0,0.28,0.56,0.85,0,0,0,0.56,0,0,0,0,0,0.56,0,0,0
21Day,0,0.37,0.37,1.11,0,0,0,0,0,0,0,0,1.11,0.37,0.74,0.37,0.37,0,0,0,0,0,1.11,0.37,0.74,0,0,0.74,0,0,0,0.37,0,0,0,0
3Month,0,1.66,0.83,4.58,0,0.21,3.43,0,0.1,6.55,0.73,0.1,14.46,1.46,1.14,0.52,0.73,0.21,0,4.26,1.04,0.1,0,0.52,0.73,0,0,0.21,0.1,0,0,0,0.21,2.6,0.73,0.21
22Month,0.14,2.32,0.68,6.29,0.27,0.27,2.87,0.27,4.92,49.47,0.96,0,9.43,0.14,0.27,0.14,0.14,0,0,1.37,0,0,0,0,0.27,0.14,0,0,0,0.41,0.27,0,0,1.09,0,0.14
