stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
21Day,0,0,1.11,0.37,0,0,0,0,0,0,0,0,1.11,1.11,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0.42,0,0,0,0.21,0,0,0.21,0.1,0.42,0,0,0.1,0,0,0.1,0,0,0.1,0,0,0.21,0.52
22Month,0.27,0.27,1.64,0,0.41,0.41,0.68,0.14,3.96,0.27,0,5.6,0.27,0.14,0.14,0.41,0.14,0,0.14,0.14,0,0.27,0.14,0,0.27
