stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell__caudal_fin_,Neural_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,3,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0.56,0,0,0.28,0,0
21Day,0,0,0.74,0,0.37,0,0,0,0.37,0,0,0,0,0
3Month,0.1,0,2.5,0.1,0,0.21,0.1,0,0.1,0.1,0,0,0.21,0.21
22Month,0,0.14,0.14,0.14,0,0.41,0,0.41,0,0.14,0.27,0,1.91,0
