stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,2,0,0,0,0,0,0,2,1,1,2,0,0,0,23,0,0,0,0,0,0,0,1,0
72hpf,0.28,0.56,0.56,0.56,0,0,0,0,0.28,1.69,0,0.85,0,0.28,8.74,5.64,0.28,0.56,0,0,0.85,0,0,0,0
21Day,0,2.96,0,1.11,0.74,0,2.22,0,0,0.74,1.11,5.92,0,0.37,5.55,4.44,0,1.48,1.11,0,1.11,0.37,1.11,0.37,0.74
3Month,0,0.62,0,0,0,0.52,0,0.21,0,0.1,0.21,0.1,0,0.1,0,0,0.1,0,0,0.21,0.1,0,0,0,0.31
22Month,0,0.27,0,0,0,0,0,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0
