stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,T_cell
24hpf,2,0,0,0,0,0,1,0,0,0,0,1,1,10,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0.28,0,0,0.28,1.13,0.56,0,0,0,0
21Day,0,4.44,0,0.37,1.11,0,0,0,0,0.74,0.37,0,0.74,0.74,0.74,0.37,0,0.37
3Month,0,0.21,0,0,0,0.1,0,0.1,0.21,0,0,0,0,0,0,0.1,0.1,0.21
