stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,1.97,0,2.82,0,0,0,0.28,29.31,3.1,0,1.69,0,2.25,0,0,0,0,0
21Day,1.11,0,0,1.85,0.37,0,0,0,0,0.37,0.37,0,1.11,0,0,0.74,0,10.73,1.11,0,0,0,1.11,0.37,0.37,0,0,0
3Month,0,0.21,0.1,0.94,0,0,1.04,1.14,0.21,0.62,0.52,0.31,2.29,7.59,0.1,0.1,0,0.21,0,1.66,0.1,0,0.1,0.1,8.01,0,0.1,3.54
22Month,0,0,0,0.27,0,0.14,0.27,2.6,0.14,0,0,0.27,1.5,0.68,0,0.14,0,0.14,0,2.05,0,0.27,0,0,3.28,0.14,0,0
