stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.85,0,0,0,0,3.38,2.82,0,0,0.28,0,0,0.28,0,0,0,0
21Day,0,0.74,2.22,0.37,0.37,0,0,0,0,0,0,0,1.11,0,0,0.37,0,1.48,0,0,4.07,0,1.11,0.37,0.37,0,0,0,0,0,0,0.74,0,0.37
3Month,0.21,1.25,3.74,0,0,0.31,0.31,0.73,0.83,0,2.6,0.31,0,0.94,0.21,0.83,0.21,1.87,0,0,0.52,0.52,0.42,0.1,0.42,0.1,0.1,0.83,1.25,0.21,0,104.12,0.62,1.04
22Month,0,0.41,0.27,0,0,0.14,0.14,0.27,0,28.01,1.64,0,0,0.27,0,0.55,0.68,0.27,0.14,0.27,0.14,0,0,0,0.14,0,0,0,0.96,0,0.27,12.57,0,0.27
