stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,5.92,0.37,0,0
3Month,0,0.1,0,0.1,0.21,6.45,0,0.21,0.1,0.31,0,0,0,0,0,11.23,0,0.21,0.1
22Month,0.14,0.14,0.14,0,0.14,19.68,0.14,0.55,0.14,0,0.14,0.27,0.14,0,0.14,24.6,0,0,0.14
