stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,12,317,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,15.5,2.25,0,0,0,0,0,0,0,0,0,0,10.71,0,0.85,0,0,13.25,33.82,0,1.41,0,0,0,0.56,0.28,0,0,0,0
21Day,0,0,0,2.59,8.14,0.74,0,0,0,0,0,0,0,0.74,0,0,4.07,0,1.48,0,0.37,3.7,15.17,0,0.74,1.11,0,0,1.11,0,0.37,0,0,0
3Month,0,0.1,0,1.56,1.77,0,0,0.21,0.1,0,0,1.35,0.31,0,0.42,0.1,1.66,0.31,0.62,0,0.1,0.42,0.21,0.21,0,0.1,0.1,0.52,0.21,0,0,0.21,0.1,0.42
22Month,0,0.14,0.27,1.23,1.78,0,0.14,0.27,0.27,0.27,0,7.52,0.14,0.27,0.41,0.14,0.82,0.14,0.68,0.14,0.27,0.14,0.14,0.82,0,0,0,1.09,0.27,0,0,0,0,0.27
