stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,5.64,0,0,0,0.28,0
21Day,0.37,0.37,0,0.37,0,0,4.44,0.37,0.74,0,0,0
3Month,0,0,0,0,0.1,0.21,0,0,0,0,0,0.1
22Month,0,0,0.55,0,0,0,0,0,0,0.27,0,0
