stage,Epithelial_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell
72hpf,0.85,0,0,0.56,0,0,0.28,0.28,0,0,0
21Day,10.73,0,0.37,0,0.37,0,0,0,0.37,0.37,0.37
3Month,0.42,0.1,0,0,0,0.1,0.1,0,0.1,0.42,0
