stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16,3,0,6,0,0,0,0,0,0,0,0,0,3,0,2,4,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,12.12,6.76,0,2.82,1.13,0,0,0.28,0,0.56,0,0,0,19.73,1.97,0,22.27,0,10.71,0,0,129.37,9.86,0,0,0,10.71,10.43,0,0.85,0,0.28,0,0,0
21Day,7.03,8.51,1.11,5.55,1.85,0,0.37,0,0,7.4,0,0.37,2.96,0,1.85,0,18.5,0,0,0.37,0,21.83,2.59,0,0,0,4.07,18.87,0,0,0.37,0.37,0,0,0
3Month,0.21,11.03,2.08,31.21,0,0.62,1.66,1.04,0,210.32,1.66,0,25.59,0.62,1.87,0.94,1.98,0.52,0.62,4.58,0.52,0.31,0.1,0.21,0.21,0,0.1,7.39,3.22,0,0.1,0.1,0.94,2.18,1.35
22Month,0.55,13.53,1.23,66.55,0,0.68,1.5,3.42,19.68,449.71,2.32,0.41,40.31,0.14,0.68,3.83,2.6,0,9.57,0.55,0,0.27,0,0.55,0.27,1.23,0,2.19,4.37,0.41,0.14,0.14,0.27,0,0.82
