stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,15,0,0,1,0,0,0,0,0,0
72hpf,10.99,1.69,0,23.68,2.25,15.78,0.56,0,0.56,0,0,0.56,0.28,5.07,21.14,2.54,26.78,0,1.69,0.85,0,117.53,61.72,0.56,0.28,151.35,0.56,0,10.43,0.56,0.85,0
21Day,2.59,0.37,0.74,8.51,0.37,4.81,0.37,0.37,0.37,1.11,0.37,1.48,2.22,0,5.18,2.22,11.47,0,0.37,5.18,0,9.62,4.81,0.37,0.74,89.17,4.07,0.37,0.74,0,0,1.11
3Month,0,0,0,0.42,0,0,0,0,0.1,0.31,0,0,0.1,0.1,0.1,0.21,1.04,1.35,0,0,0.1,0,0,0,0,2.7,0,0,0,0,0,0
22Month,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
