stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0.56,1.13,0,1.69,0,0,0.56,0,1.69,1.41,0,0,0,0,0,0,0.56,0,0,0
21Day,0.37,0,1.48,1.85,0,0.37,0,0,0,0,0,0.37,1.11,0,0.37,0,3.33,0,0,4.07,0,2.22,2.22,0.74,0.74,0.74,0.37,0,0.37,0,0,0,0
3Month,0,0.42,1.04,1.98,0.1,0,0,0.94,0.52,6.97,0.52,0,8.11,0.21,0.73,0.62,0.94,0.62,0.1,0.73,0.31,2.18,0.21,2.18,0.21,0.42,0.52,0.42,0,0,0.1,0.31,0.52
22Month,0,0.96,1.09,1.09,0.27,0,0.14,1.37,0.96,15.99,0.55,0.27,7.93,0.14,0.14,0.41,0.96,0.14,0.55,0.55,0.14,1.09,0,1.78,0,0.14,0,0.27,0,0,0.27,0,0.14
