stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,143.74,0.28,0,0.28,1.13,0,0,0,0,0,0.56,0.85,0.28,1.97,0,1.41,0.28,9.3,3.1,0.28,2.25,0,0.28,0.28,0,0,0,0
21Day,72.52,0,1.48,0,0.74,0.37,0.37,0.37,2.22,0,0.37,1.48,0.37,2.96,0,11.84,0,4.81,0.37,0,1.85,0,0.74,0,0.74,0.37,0,0.37
3Month,1.98,0.1,0.42,0,0,0,1.14,0.21,0,0.52,0,0.1,0,0.1,0.1,0.31,0.1,0,0,0,0,0.52,0,0,0,0,0.21,0
22Month,0.68,0,0,0,0,0.27,1.5,0,0,0.41,0,0,0,0.14,0,0.27,0,0.14,0,0,0,0.55,0,0,0,0,0.14,0
