stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.85,0,0,0,0,0,0.85,0,1.97,0,0,0.28,1.13,0.28,1.41,0,0,0,0.28,0,0,0
21Day,0.37,0.37,0,2.59,0,0,0,0,0,0.74,1.11,1.11,7.4,0,0.37,0,0,0.37,1.11,0.37,0,0.37,0,0,0,0.74
3Month,0,0.1,0.1,4.89,0.1,0.21,0.42,0.31,0.62,0,2.29,0.52,3.43,0.1,0,0,0.42,0.1,0,0,1.25,0,0,0.83,0.1,0.42
22Month,0,0.14,0,0.55,0,0,0.27,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.14
