stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.56,0.28,5.07,0,0,0,0,0,0,0,0.28,1.13,0,0.56,0,0,0,0,204.34,4.79,0,0,0,2.82,0,0,0.56,41.15,19.17,0,0,0,0
21Day,0,0,1.85,0,1.48,0.37,0,0,0,0.37,0,0,0.37,0.37,0.37,0.74,0,0,0.37,0,24.79,1.48,0,0,0,0.37,0.74,0,0,39.96,33.67,0,0,0,0
3Month,0.1,0.1,1.35,0,0,0,0.1,2.39,0,2.91,0.52,0.62,1.46,0.52,0.62,0.31,0.1,0,0.52,0.1,0.52,0,0.1,0,0,0,0,5.41,0,0.52,0.1,0.42,0.1,0.94,0.31
22Month,0,0.14,0.27,0,0,0.14,0.14,1.23,0.14,7.24,0.27,0.96,0.27,0.14,0.41,0.68,0.14,0.41,0.14,0,0.14,0,0.14,0.14,0.14,0,0.14,0.68,0.14,17.76,0.14,0,0.14,0,0.55
