stage,Cardiomyocyte,Endothelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,1.13,0,0.56,0,0,0.28,0.28,0.56,1.69,1.41,0.28,0.56,0,0,0
21Day,0.37,0.37,0,0,0,0,0.37,0.74,2.59,0.74,0,0,0,0.37,0
3Month,0,0,0,0.42,0.21,0.1,0.1,0.21,0.1,0,0,0,0.1,0,0
22Month,0,0,0,0.55,0,0,0,0.14,0,0,0,0,0,0,0.14
