stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0.85,0,0.85,0.28,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0,1.48,2.59,0,2.96,0,0,0.37,0.74,0.37,0
3Month,0.1,0.94,0.52,0.21,0.1,0.1,0.62,0.1,0,0.31,0.21,0.1,1.25,0.31,1.77,0,0,0,0,0,0.42
22Month,0,0.27,0,0,0.14,1.64,1.78,0,0.14,0.14,0,0.14,0.14,0,0.41,0.14,0,0,0,0,0
