stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,1,0,0,1,0,0,0,0,1,1,12,0,0,0,0,0,1
72hpf,0.85,0.28,0,0,0,0,0,0.56,0.56,0.56,3.1,1.13,0,0,1.13,0,0.56,0
21Day,0,1.11,0.37,0.37,0,0,0.74,0,0,0.74,1.48,0.74,0,0.74,0.37,0.74,0.37,0
3Month,0,0,0,0,0,0.21,0,0,0,0,0,0,0.1,0,0,0,0,0
22Month,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0
