stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0
3Month,0.62,0.1,0.31,0.1,0.42,0.1,0.1,0.1,0,0.1,0.1,0.1,0,11.65,0.1,3.33,0.42
22Month,0,0,0.41,0,0.68,0,0,0,0.14,0,0,0,0.14,0.68,0,0,0
