stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Smooth_muscle_cell,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0
21Day,2.59,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0
3Month,7.59,0,1.98,0,0,0.1,0.21,0,0.83,0.31,0.94,1.14,0.31,1.14,0.31,0.21,0,0.1,0,0.1,0.1
22Month,7.11,0.14,0.55,0,0.14,0.14,0.27,0.14,2.05,0.14,0.14,0.14,0,0.68,0.14,0,0,0,0.14,0,0
