stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
72hpf,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0.85,0.28,0,0,0,0,0,0
21Day,0.74,0,0,10.36,0.74,0,0,0,0,0,45.51,0,1.85,0,0,0.74,1.85,0.74,0,0,0,0.37,0.37,0,0
3Month,0,0.1,0,10.4,0,0,1.14,0.21,0.1,0.31,0.62,0.42,0.42,0.1,0,0.21,0.83,0,0,1.35,0.1,0,0,0.94,0.21
22Month,0,0.27,0.14,9.43,0,0.55,3.28,0,0.68,0.14,0,0.68,0.41,0,0.14,0,0.68,0,0,0.68,0,0,0,0,0.14
