stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.85,0.85,0,0,0,0,0,0,0,0.28,0,0.28,0.56,0,1.41,0,0,0.28,0.56,0.28,0,0.85,0,0,0,0,0,0,0
21Day,0.37,0,0.74,0.37,0.37,0,0.37,0,0,0,0,0,0,0,1.48,0,0,1.48,0,0,0,0.74,0.37,0.37,1.11,1.11,0.37,0.37,0.37,0,0,0.74
3Month,0.1,0.42,1.98,0.1,0,0.1,0,0,0.31,0,12.17,0.42,0,3.33,1.77,0.21,0.31,1.35,0.52,0.42,0.62,0.21,0,0.21,0.21,0.42,3.85,0.21,0,0.21,15.29,0.52
22Month,0.14,0,0.82,0,0,0,0,0.14,0.27,0,3.01,0,0,1.09,0.14,0.14,0,0.96,0,0.27,0,0,0,0,0,0,0.68,0,0,0,0,0
