stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0.85,0,0,0,0.56,0,0,1.13,0,0,0,0,0
21Day,0.37,0,1.85,1.48,0,1.11,0,0,0.74,0,0.37,0,0,0.74,1.11,0.37,0.74,0,0,1.11,0,35.52,1.85,0,0,0,0.74,0.74,0,8.51,0.37,1.85,0,0,0.37
3Month,0.1,0.1,0.94,0,0.1,0,0.1,0.21,1.56,0,1.35,0.42,0,0.42,0.1,0.21,0.52,0,0,0.21,0.21,0.31,0,0,0,0,0,0.1,1.14,20.6,0.1,0,0.1,1.35,0.21
22Month,0,0.27,0.68,0,0.55,0.14,0,0.27,37.03,0.27,2.87,0.14,0.27,1.37,0.27,0.96,0.55,0.41,0.14,0,0,0.41,0,0.14,0.14,1.5,0,0,0.55,49.06,1.23,0,0,0,0.41
