stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,10,0,0,0,0,0,0,0
72hpf,0.28,0.56,0.28,0,0,0,0,0,0,0,0,0.56,0,0.28,7.05,2.54,0.85,0,0.56,0.28,0.28,0,0
21Day,0.37,0,0.37,0,0.37,0,0,0,0,0.37,0.37,1.85,0.37,0,3.33,1.11,0.37,0,0.37,0,0,0,0
3Month,0,0.21,0.83,0.1,0,0.1,0.52,0.1,0.21,0.31,0.52,0.42,0.21,0.1,0,0,0,0.62,0,0,0,0.1,0.21
22Month,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
