stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,6,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,2,56,0,0,1,0,0,0,0,0,3,0,0
72hpf,4.23,0.56,6.2,1.13,1.69,0,0,0,0,0,0,0,0,0.56,3.38,0,6.76,0,0,0.28,36.36,16.91,0.56,0,5.36,0,0,2.82,0.56,0.28,0.85,0,0
21Day,3.7,0,7.4,0.37,1.48,0.37,0,0,0,0,0,1.11,0.37,0,4.81,0.37,24.79,0,0,0.74,27.75,6.66,0.37,0,6.66,1.11,0,2.59,1.85,0.37,1.48,0,0
3Month,0,0,2.91,0,0,0,0.1,0,0,1.04,0.21,0,0.42,0.31,0.42,0.1,0.94,0,0,0.1,0,0,0.21,0.1,0,0.1,1.46,0,0,0,0,0.1,0.52
22Month,0,0,2.05,0,0,0,0.27,0.27,0.96,5.88,0.27,0.14,0.41,0.27,0.41,0.27,0.82,0.14,0.27,0.14,0,0,0.14,0.27,0,0,0,0.14,0.27,0,0,0,0
