stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,1.69,0.85,0.56,0,0,0,0,0,0,0,0
21Day,0.37,0,0.74,0,0,0,0,0,0.37,0,0,0,0.37,0.37,0,0,1.11,0,1.48,1.11,1.85,0,0,0,0.37,0,0,0,0
3Month,0,0.1,0,1.46,0.1,0.21,0.31,1.46,0.21,0.31,0.42,0.31,0.21,0,0.1,0,0.62,0.62,0,0.21,5.3,0,0,0.21,0.42,0,0.1,0.1,0
22Month,0,0.14,0.96,1.09,0,0.41,0.14,29.38,0.27,6.42,0.27,0,0.14,0.27,0,0.41,0.55,0.41,0.14,0,6.15,0.14,0.14,0.14,0.14,0.14,0,0,0.14
