stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,4,0,0,0,0,0,0,0,0,4,0,0,0,5,1,0,0,0,0,0
72hpf,0.28,0.28,1.97,0,0,0,1.13,0,0,3.1,0.28,0.56,0,0.28,1.41,0.85,2.25,0,0.28,1.13,0,0
21Day,0,0,1.85,0,0,0,2.22,0,0,0.74,0.37,2.59,0,0,0.74,0,0.37,0,0.37,1.85,0,0.37
3Month,0,0,3.22,0.1,1.35,0.1,0.21,0,0.1,1.77,0.21,0.73,0.42,0,0,0,0,0.42,0.1,0,0.1,1.46
22Month,0,0.55,0.27,0.14,0.82,0,0.14,0.14,0,0.55,0,0.14,0,0,0,0,0.14,0,0,0,0,0.27
