stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,14.09,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0.56,0,0.28,0.28,0,0,0,0.28,0,0,0
21Day,0.37,0,4.07,0,0,0,0,0,0,0,0.37,0,3.7,0,1.11,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.1,0.21,0.83,0.21,0.1,0,0.62,0.62,0,0.42,0.21,0.31,6.76,0.52,0,1.56,0,0,0.31,0.21,0.1,7.59,0,0.1,0.21,2.08,0.62
22Month,0,0.41,0.27,0,0.14,2.05,2.6,0.14,0.14,0.14,0,0,3.55,0.14,0.14,0.14,0,0,0.27,0,0,1.5,0.14,0.14,0.14,0,0.41
