stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,2,2,0,3,0,1,0,0,0,0,0,3,0,0,0,0,1,1,3,13,0,0,0,4,52,0,0,2,0,0,0,0,0,0,0,0
72hpf,3.38,0.28,0,1.69,0,0.56,0,0.28,0,0,0,0,0,0,0,0,3.95,6.48,0.56,5.92,1.41,0.28,0,21.98,18.88,0,0.28,4.23,0.56,0,1.41,0.28,0.28,0.28,0,0
21Day,8.51,0,0.37,21.83,0.74,5.18,0,4.81,0.37,0.37,0,0,1.11,0.74,7.03,1.48,0.74,6.66,3.7,22.94,0,1.48,0,8.51,9.99,0.37,0.37,7.4,1.85,0.37,2.22,0.37,1.11,0,0,3.7
3Month,0,0.21,0,1.87,0,0,0,0,0.52,0.1,0,0,3.95,0.31,0.1,1.14,0.1,0.42,0.73,0.94,0,0,0.42,0.1,0.1,0.1,0,0,0.42,4.58,0,0,0,0.1,0.31,0.62
22Month,0,0.41,0,0.82,0,0,0.14,0.27,0.14,1.5,0.41,0,8.06,0,0.55,0.41,0.14,0.27,0.41,0.41,0,0,0,0,0,0,0.14,0.14,0,0.27,0,0,0,0,0,0.41
