stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0.28,1.41,1.41,0,0,0,0.56,0,0
21Day,0.74,0,2.59,0.37,1.11,0,0.74,0,0,0,0.74,0,0.74,0,0,0.74,0,0,0,0,0.37,1.11,1.85,0.74,0,0.37,0,0,0,2.22
3Month,0,0.1,1.25,0.1,0,0.1,0,0.21,0,0,12.69,0.21,0.1,0.52,0.31,0.52,0.21,0.1,0.1,0.31,0.73,0.21,0,1.25,0.1,0,0.1,0,0.1,0.83
22Month,0.82,0.27,2.87,0,0,0.41,0,0.82,0.55,0.55,19.81,0.27,0,0.82,0,0.41,0.14,0.14,0,0.14,0.27,0,0,2.87,0,0,0,0,0,0.41
