stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.74,0,0.37,0,0.74,0,0,0,0,0,0,3.33,0.37,0.37,0.37,0.37,1.11,0,0,0,0,0.37,0,0,0,0,0.37,0.37,0,0,0,0,16.28
3Month,0.1,0.62,0,3.33,0.21,0,0.21,0,0.1,0.31,1.14,0,3.95,1.87,0.62,1.98,0.21,1.35,2.91,1.98,0.1,0,0.21,0.1,0.31,0,0.1,0.1,0,0.31,0.62,0.73,0,0.52,1.04,111.51
22Month,0,0.82,0.27,0.96,0,0,0.68,0.27,0,0.27,1.09,0.14,9.43,0.68,1.09,0.68,0,0.27,3.14,0.96,0.14,0.41,0,0,0.27,0.14,0.14,0.14,0.14,0,0.41,0,0.14,0.14,0,51.24
