stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0
72hpf,0,0,1.97,0,0,0.28,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0
3Month,0,0.1,0,0.1,0.1,0,1.25,0.1,0.31
