stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,78,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,1.41,0.28,0,0,0,0,0.56,0,0,0,0.85,0,2.54,1.97,13.25,0.56,0,1.13,0,0,2.25,2.82,0.28,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,2.96,0,0,1.48,0,0,7.4,0,0,0,7.03,0,1.48,1.48,53.28,2.59,0,0.37,0,0,1.48,0.74,0,0.37,0.37,0.37,0,0.37,0,0,0,0,2.22
3Month,0,0.62,0.94,4.68,0,0.52,0.1,0.1,1.04,114,0,9.57,132.73,2.39,4.26,0.42,1.56,114,2.18,0.42,0.1,2.08,0.73,0.1,0,0.21,0.21,0.31,3.85,1.04,4.16,0.1,0,0.83,1.98,6.14
22Month,0,1.5,1.37,4.37,0,1.09,0.14,0,1.78,209.89,1.09,15.17,65.59,4.78,7.52,0.14,0.27,282.45,1.78,0.14,0.82,1.5,0.14,0.27,0.14,0.14,0.55,0.14,0.41,0,7.24,0,0.41,0,0,9.57
