stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,1.97,1.97,0,0,0,0,0,1.13,0,0,0,0,0,0,0
21Day,0,0.74,3.33,0,0,0,0,0,0,0,1.48,1.48,0,0.74,0,0,0.37,0,0,0,0,0.37,0,0,0
3Month,0,0.42,10.71,0,0.1,1.66,0.31,2.6,0.83,11.23,1.77,0.52,0.62,0.31,0.1,1.35,0.94,0.83,0.1,0.73,0.42,0.94,0.21,2.6,0.42
22Month,0,0.41,0.96,0,0,0.82,0,1.23,0,5.47,0.27,0.14,0.14,0.14,0,0,0,0,0,0.27,0,0.55,0,0,0
