stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,1.13,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,2.54,0,1.13,0,0,0,29.03,7.05,0.28,0,0,0.56,0,0,6.76,51.3,22.27,11.27,0,0
21Day,0.74,0,0,2.22,0,3.7,0,0.37,0,0,0,0.74,0,0.37,0.74,0,1.48,0,2.59,0,0,0.37,27.01,2.22,0.37,0,0,0.37,0.74,0.74,1.48,106.19,112.11,1.48,0.37,0.37
3Month,0,0,0,1.35,0,0,0.1,0.1,0.31,0,0,3.12,0.1,0.21,1.14,0.31,0.31,0.42,0.42,0.42,0.1,0,0.21,0,0,0.1,0,0,0.1,16.33,0,0.94,0,0.1,9.15,0.31
22Month,0,0.82,0.55,1.37,0.14,0,0,0,0.14,1.5,0.82,16.81,0.27,0.41,1.91,0,0.41,1.09,1.5,0,0.55,0.27,0.27,0,0.27,0,0.41,0.14,0,5.33,0.27,40.86,0,0,0,0.41
